# Shipments,sZip,cZip,CarrierName,Weight,Charge,Estimated Freight$,Savings
100891,41048,41048,FEDEX,663.2,"$2,993.86 ",$424 ,"$2,569 "
210274,27260,41048,FEDEX,650,"$1,857.33 ",$194 ,"$1,662 "
363338,41048,L0S1J0,FEDEX,203.7,"$1,074.87 ",$301 ,$773 
51207,41048,72479,FEDEX,153,"$1,082.48 ",$346 ,$736 
213271,41048,J0K3L0,FEDEX,729.5,"$2,903.79 ","$2,225 ",$677 
105892,41048,93003,FEDEX,165.4,$785.35 ,$128 ,$656 
268078,41048,J9P4N9,FEDEX,327.6,"$1,615.70 ",$999 ,$616 
194912,41048,M9C5L5,FEDEX,158.6,$809.64 ,$234 ,$574 
24562,90630,L5T3A5,FEDEX,187.3,$876.05 ,$348 ,$527 
204137,41048,M1X1G5,FEDEX,199.9,$763.39 ,$296 ,$467 
